81	e0	e306	C
81	e2	e6	C
81	e3	e75	C
81	e3	e77	C
81	e3	e86	C
81	e3	e110	C
81	e3	e112	C
81	e3	e122	C
81	e3	e152	C
81	e3	e184	C
81	e3	e190	C
81	e3	e222	C
81	e3	e243	C
81	e3	e275	C
81	e4	e8	C
81	e4	e16	C
81	e4	e18	C
81	e4	e64	C
81	e4	e78	C
81	e4	e80	C
81	e4	e84	C
81	e4	e95	C
81	e4	e99	C
81	e4	e113	C
81	e4	e115	C
81	e4	e120	C
81	e4	e131	C
81	e4	e137	C
81	e4	e141	C
81	e4	e150	C
81	e4	e153	C
81	e4	e163	C
81	e4	e185	C
81	e4	e186	C
81	e4	e191	C
81	e4	e193	C
81	e4	e209	C
81	e4	e212	C
81	e4	e213	C
81	e4	e215	C
81	e4	e217	C
81	e4	e223	C
81	e4	e226	C
81	e4	e230	C
81	e4	e233	C
81	e4	e236	C
81	e4	e244	C
81	e4	e268	C
81	e4	e314	C
81	e5	e9	C
81	e7	e75	C
81	e7	e77	C
81	e7	e86	C
81	e7	e110	C
81	e7	e112	C
81	e7	e122	C
81	e7	e152	C
81	e7	e184	C
81	e7	e190	C
81	e7	e222	C
81	e7	e243	C
81	e7	e275	C
81	e8	e16	C
81	e8	e18	C
81	e8	e64	C
81	e8	e78	C
81	e8	e80	C
81	e8	e84	C
81	e8	e95	C
81	e8	e99	C
81	e8	e113	C
81	e8	e115	C
81	e8	e120	C
81	e8	e131	C
81	e8	e137	C
81	e8	e141	C
81	e8	e150	C
81	e8	e153	C
81	e8	e163	C
81	e8	e185	C
81	e8	e186	C
81	e8	e191	C
81	e8	e193	C
81	e8	e209	C
81	e8	e212	C
81	e8	e213	C
81	e8	e215	C
81	e8	e217	C
81	e8	e223	C
81	e8	e226	C
81	e8	e230	C
81	e8	e233	C
81	e8	e236	C
81	e8	e244	C
81	e8	e268	C
81	e8	e314	C
81	e11	e12	C
81	e11	e73	C
81	e11	e76	C
81	e11	e87	C
81	e11	e108	C
81	e11	e111	C
81	e11	e123	C
81	e11	e196	C
81	e11	e197	C
81	e11	e200	C
81	e11	e256	C
81	e12	e73	C
81	e12	e76	C
81	e12	e87	C
81	e12	e108	C
81	e12	e111	C
81	e12	e123	C
81	e12	e196	C
81	e12	e197	C
81	e12	e200	C
81	e12	e256	C
81	e16	e18	C
81	e16	e64	C
81	e16	e78	C
81	e16	e80	C
81	e16	e84	C
81	e16	e95	C
81	e16	e99	C
81	e16	e113	C
81	e16	e115	C
81	e16	e120	C
81	e16	e131	C
81	e16	e137	C
81	e16	e141	C
81	e16	e150	C
81	e16	e153	C
81	e16	e163	C
81	e16	e185	C
81	e16	e186	C
81	e16	e191	C
81	e16	e193	C
81	e16	e209	C
81	e16	e212	C
81	e16	e213	C
81	e16	e215	C
81	e16	e217	C
81	e16	e223	C
81	e16	e226	C
81	e16	e230	C
81	e16	e233	C
81	e16	e236	C
81	e16	e244	C
81	e16	e268	C
81	e16	e314	C
81	e17	e195	C
81	e18	e64	C
81	e18	e78	C
81	e18	e80	C
81	e18	e84	C
81	e18	e95	C
81	e18	e99	C
81	e18	e113	C
81	e18	e115	C
81	e18	e120	C
81	e18	e131	C
81	e18	e137	C
81	e18	e141	C
81	e18	e150	C
81	e18	e153	C
81	e18	e163	C
81	e18	e185	C
81	e18	e186	C
81	e18	e191	C
81	e18	e193	C
81	e18	e209	C
81	e18	e212	C
81	e18	e213	C
81	e18	e215	C
81	e18	e217	C
81	e18	e223	C
81	e18	e226	C
81	e18	e230	C
81	e18	e233	C
81	e18	e236	C
81	e18	e244	C
81	e18	e268	C
81	e18	e314	C
81	e20	e139	C
81	e20	e228	C
81	e20	e310	C
81	e21	e22	C
81	e21	e391	C
81	e21	e396	C
81	e22	e391	C
81	e22	e396	C
81	e24	e82	C
81	e24	e118	C
81	e24	e321	C
81	e26	e145	C
81	e27	e90	C
81	e27	e126	C
81	e27	e146	C
81	e27	e182	C
81	e27	e336	C
81	e28	e159	C
81	e46	e50	C
81	e46	e329	C
81	e46	e367	C
81	e47	e156	C
81	e50	e329	C
81	e50	e367	C
81	e51	e326	C
81	e51	e341	C
81	e51	e345	C
81	e51	e351	C
81	e51	e354	C
81	e51	e358	C
81	e51	e364	C
81	e51	e371	C
81	e51	e379	C
81	e51	e383	C
81	e51	e389	C
81	e51	e400	C
81	e59	e239	C
81	e62	e85	C
81	e62	e121	C
81	e62	e168	C
81	e62	e173	C
81	e64	e78	C
81	e64	e80	C
81	e64	e84	C
81	e64	e95	C
81	e64	e99	C
81	e64	e113	C
81	e64	e115	C
81	e64	e120	C
81	e64	e131	C
81	e64	e137	C
81	e64	e141	C
81	e64	e150	C
81	e64	e153	C
81	e64	e163	C
81	e64	e185	C
81	e64	e186	C
81	e64	e191	C
81	e64	e193	C
81	e64	e209	C
81	e64	e212	C
81	e64	e213	C
81	e64	e215	C
81	e64	e217	C
81	e64	e223	C
81	e64	e226	C
81	e64	e230	C
81	e64	e233	C
81	e64	e236	C
81	e64	e244	C
81	e64	e268	C
81	e64	e314	C
81	e65	e67	C
81	e65	e100	C
81	e65	e102	C
81	e65	e177	C
81	e65	e181	C
81	e67	e100	C
81	e67	e102	C
81	e67	e177	C
81	e67	e181	C
81	e68	e103	C
81	e69	e71	C
81	e69	e104	C
81	e69	e106	C
81	e69	e189	C
81	e70	e88	C
81	e70	e105	C
81	e70	e124	C
81	e70	e149	C
81	e71	e104	C
81	e71	e106	C
81	e71	e189	C
81	e72	e107	C
81	e72	e257	C
81	e73	e76	C
81	e73	e87	C
81	e73	e108	C
81	e73	e111	C
81	e73	e123	C
81	e73	e196	C
81	e73	e197	C
81	e73	e200	C
81	e73	e256	C
81	e74	e109	C
81	e75	e77	C
81	e75	e86	C
81	e75	e110	C
81	e75	e112	C
81	e75	e122	C
81	e75	e144	C
81	e75	e152	C
81	e75	e162	C
81	e75	e184	C
81	e75	e190	C
81	e75	e199	C
81	e75	e222	C
81	e75	e235	C
81	e75	e243	C
81	e75	e275	C
81	e76	e87	C
81	e76	e108	C
81	e76	e111	C
81	e76	e123	C
81	e76	e196	C
81	e76	e197	C
81	e76	e200	C
81	e76	e256	C
81	e77	e86	C
81	e77	e110	C
81	e77	e112	C
81	e77	e122	C
81	e77	e144	C
81	e77	e152	C
81	e77	e162	C
81	e77	e184	C
81	e77	e190	C
81	e77	e199	C
81	e77	e222	C
81	e77	e235	C
81	e77	e243	C
81	e77	e275	C
81	e78	e80	C
81	e78	e84	C
81	e78	e95	C
81	e78	e99	C
81	e78	e113	C
81	e78	e115	C
81	e78	e120	C
81	e78	e131	C
81	e78	e137	C
81	e78	e141	C
81	e78	e150	C
81	e78	e153	C
81	e78	e163	C
81	e78	e185	C
81	e78	e186	C
81	e78	e191	C
81	e78	e193	C
81	e78	e209	C
81	e78	e212	C
81	e78	e213	C
81	e78	e215	C
81	e78	e217	C
81	e78	e223	C
81	e78	e226	C
81	e78	e230	C
81	e78	e233	C
81	e78	e236	C
81	e78	e244	C
81	e78	e268	C
81	e78	e314	C
81	e79	e114	C
81	e79	e286	C
81	e79	e288	C
81	e80	e84	C
81	e80	e95	C
81	e80	e99	C
81	e80	e113	C
81	e80	e115	C
81	e80	e120	C
81	e80	e131	C
81	e80	e137	C
81	e80	e141	C
81	e80	e150	C
81	e80	e153	C
81	e80	e163	C
81	e80	e185	C
81	e80	e186	C
81	e80	e191	C
81	e80	e193	C
81	e80	e209	C
81	e80	e212	C
81	e80	e213	C
81	e80	e215	C
81	e80	e217	C
